contexto,n_contexto,n_alta,support_alta,conf_alta,lift_alta,conf_baixa,lift_baixa,conf_fatal,lift_fatal
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre",185,151,0.006208881578947369,0.8162162162162162,2.4338374666967115,0.18378378378378377,0.2765170515727309,0.41081081081081083,5.2722527276617
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não",183,148,0.0060855263157894735,0.8087431693989071,2.411553933273838,0.1912568306010929,0.28776083396551466,0.42076502732240434,5.4000028836310685
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_uso_solo_Não",303,244,0.010032894736842105,0.8052805280528053,2.4012288428450494,0.19471947194719472,0.2929706482155268,0.43894389438943887,5.6333063385494215
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_fase_dia_Plena_Noite",193,155,0.006373355263157895,0.8031088082901554,2.394753091909831,0.19689119170984457,0.2962381701548763,0.39378238341968913,5.053713754494375
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tracado_via_Reta",155,124,0.005098684210526316,0.8,2.3854830799411477,0.2,0.30091561494679536,0.3806451612903226,4.885113626691634
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Atropelamento_de_Pedestre, ctx_tipo_pista_Dupla",264,211,0.008675986842105262,0.7992424242424241,2.383224099751809,0.20075757575757572,0.3020554468215938,0.428030303030303,5.49324378348125
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_uso_solo_Não",193,154,0.006332236842105263,0.7979274611398963,2.3793030719620254,0.20207253886010362,0.30403391147474146,0.39896373056994816,5.120209988106143
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim, ctx_tipo_acidente_Atropelamento_de_Pedestre",198,157,0.006455592105263158,0.792929292929293,2.364399264840658,0.2070707070707071,0.3115540457782478,0.3888888888888889,4.9909117560832605
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_acidente_Atropelamento_de_Pedestre",191,150,0.006167763157894737,0.7853403141361257,2.341770039209242,0.21465968586387435,0.3229722568800683,0.3717277486910995,4.770669576869414
"ctx_causa_acidente_Pedestre_andava_na_pista, ctx_tipo_acidente_Atropelamento_de_Pedestre",284,223,0.009169407894736843,0.7852112676056339,2.3413852413154754,0.2147887323943662,0.32316641746046687,0.38028169014084506,4.880448920435542
