contexto,n,support,conf_fatal,lift_fatal,conf_ferido,lift_ferido,razao_lift
Plena Noite + Atropelamento de Pedestre + Rural,336,0.012491170675489795,0.4255952380952381,5.435938418577307,0.5744047619047619,0.623196615596184,8.722669992963603
Transitar na contramão + Colisão frontal + Rural,471,0.017509944607606232,0.42250530785562634,5.396472115863482,0.5774946921443737,0.6265490148022227,8.61300870063125
Transitar na contramão + Colisão frontal + Simples,537,0.019963567418863154,0.3891992551210428,4.971068738604431,0.6108007448789572,0.6626841945911778,7.501414367776156
Céu Claro + Colisão frontal + Rural,798,0.029666530354288262,0.37719298245614036,4.817717965378784,0.6228070175438597,0.6757103200464761,7.12985701483354
Plena Noite + Colisão frontal + Rural,529,0.019666158593256256,0.3761814744801512,4.804798424521172,0.6238185255198487,0.676807748879055,7.099207171429394
Colisão frontal + Reta + Rural,621,0.023086360087735604,0.3752012882447665,4.7922789423057806,0.6247987117552335,0.677871195398057,7.069601090649201
Fim de semana + Colisão frontal + Rural,571,0.021227554927692478,0.37302977232924694,4.764543136697252,0.626970227670753,0.68022716710828,7.004341148195897
Transitar na contramão + Céu Claro + Colisão frontal,365,0.013569277668314807,0.3726027397260274,4.759088839454137,0.6273972602739726,0.6806904732831682,6.991560813977117
Transitar na contramão + Colisão frontal,599,0.02226848581731663,0.37061769616026713,4.733734762115397,0.6293823038397329,0.6828441330611453,6.932379635297407
Plena Noite + Atropelamento de Pedestre,667,0.02479646083497528,0.36731634182908546,4.691568033646994,0.6326836581709145,0.6864259154252987,6.834776963133992
